Year,Rank,Title,Studio,Worldwide,Domestic,Overseas,Category,Link
2014,106,About Last Night (2014),SGem,49.0,48.6,3.6,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=aboutlastnight14.htm
2014,107,Whiplash,SPC,49.0,13.1,35.9,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=whiplash.htm
2014,108,Chef,ORF,46.0,31.4,14.5,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=chef.htm
2014,109,Earth to Echo,Rela.,45.3,38.9,6.4,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=echo.htm
2014,110,Boyhood,IFC,44.5,25.4,19.1,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=boyhood.htm
2014,111,Oculus,Rela.,44.0,27.7,16.3,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=oculus.htm
2014,112,Bang Bang,FIP,42.0,2.5,39.5,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=bangbang.htm
2014,113,As Above/So Below,Uni.,41.9,21.3,20.6,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=asabovesobelow.htm
2014,114,This is Where I Leave You,WB,41.3,34.3,7.0,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=thisiswhereileaveyou.htm
2014,115,That Awkward Moment,Focus,40.5,26.1,14.4,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=areweofficiallydating.htm
2014,116,Frank Miller's Sin City: A Dame to Kill For,W/Dim.,39.4,13.8,25.6,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=sincity2.htm
2014,117,The Gambler,Par.,39.3,33.7,5.6,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=gambler.htm
2014,118,Million Dollar Arm,BV,39.2,36.5,2.8,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=milliondollararm.htm
2014,119,Nightcrawler,ORF,38.7,32.4,6.3,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=nightcrawlers.htm
2014,120,Devil's Due,Fox,36.9,15.8,21.1,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=devilsdue.htm
2014,121,A Most Wanted Man,RAtt.,36.2,17.2,19.0,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=amostwantedman.htm
2014,122,The Best of Me,Rela.,35.9,26.8,9.2,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=bestofme.htm
2014,123,Endless Love (2014),Uni.,34.7,23.4,11.3,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=endlesslove14.htm
2014,124,Get On Up,Uni.,33.4,30.7,2.7,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=getonup.htm
2014,125,The November Man,Rela.,32.6,25.0,7.5,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=novemberman.htm
2014,126,The Pirates,WGUSA,32.5,4.2,32.1,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=pirates2014.htm
2014,127,Winter's Tale,WB,31.1,12.6,18.5,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=winterstale.htm
2014,128,When the Game Stands Tall,TriS,30.1,30.1,0.0,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=whenthegamestandstall.htm
2014,129,Draft Day,LG/S,29.5,28.8,6.2,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=draftday.htm
2014,130,Big Eyes,Wein.,29.3,14.5,14.8,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=bigeyes.htm
2014,131,The Divine Move,CJ,27.9,1.4,27.8,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=divinemove.htm
2014,132,Top Five,Par.,26.1,25.3,8.0,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=topfive.htm
2014,133,Iceman (2014),WGUSA,26.0,0.1,26.0,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=iceman2014.htm
2014,134,And So It Goes,CE,25.3,15.2,10.2,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=andsoitgoes.htm
